Unnamed: 0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet
165,Lille,59286,Haubourdin,13.1,5.2,21490.0,8.5,2784.34,11.8,105.9,0,0,60,7.4,15.13
166,Lille,59299,Hem,13.7,3.5,23140.0,7.9,1929.18,9.0,132.8,0,0,60,12.76,17.78
167,Lille,59303,Herlies,12.3,2.5,27360.0,6.8,327.18,8.2,27.9,0,0,60,19.82,21.84
168,Lille,59316,Houplin-Ancoisne,13,5.3,25620.0,6.3,503.85,5.3,31.2,0,0,60,10.01,19.0
169,Lille,59317,Houplines,11.4,6.9,22140.0,7.6,698.85,11.0,82.0,0,0,60,21.83,25.7
170,Lille,59320,Illies,12.6,4.1,24770.0,6.7,210.63,13.2,37.7,0,0,60,1154.0,916.02
171,Lille,59328,Lambersart,14,5.3,28160.0,8.4,4374.35,12.9,66.7,0,0,60,3.7,7.6
172,Lille,59017,Armentières,12.1,9.0,18920.0,10.1,4060.48,14.4,186.5,0,0,60,23.35,24.99
173,Lille,59339,Leers,13.2,4.5,24390.0,7.0,1775.56,8.3,46.7,0,0,60,18.72,23.32
174,Lille,59343,Lesquin,13.6,5.1,25570.0,8.1,1100.12,10.8,46.9,0,0,60,10.44,14.82
175,Lille,59346,Lezennes,13.7,6.5,25880.0,7.5,1437.62,8.8,33.3,0,0,60,10.31,17.34
176,Lille,59350,Lille,15,8.6,20520.0,22.7,6802.01,25.0,130.8,1,0,60,,
177,Lille,59352,Linselles,13.1,3.9,25380.0,7.2,700.17,8.5,39.4,0,0,60,14.6,25.08
178,Lille,59088,Bois-Grenier,13.1,7.6,29050.0,6.9,249.03,10.2,23.0,0,0,60,16.87,17.83
179,Lille,59360,Loos,13.5,7.5,19610.0,14.7,3287.57,16.2,116.7,0,0,60,5.01,9.59
180,Lille,59367,Lys-lez-Lannoy,13.1,4.9,22400.0,8.1,4179.7,10.9,103.8,0,0,60,16.43,22.71
181,Lille,59368,La Madeleine,14.7,8.7,25270.0,8.9,8031.43,15.8,73.8,0,0,60,1155.77,651.56
182,Lille,59371,Le Maisnil,13.9,4.2,34170.0,6.1,179.43,8.1,0.0,0,0,60,15.53,20.07
183,Lille,59378,Marcq-en-Barœul,14.8,6.2,29490.0,7.2,2811.14,12.2,56.9,0,0,60,6.65,12.99
184,Lille,59386,Marquette-lez-Lille,13,3.6,24500.0,7.8,2288.37,10.0,79.1,0,0,60,6.65,12.99
185,Lille,59388,Marquillies,12.3,5.1,26720.0,5.6,287.25,7.0,31.3,0,0,60,19.43,21.39
186,Lille,59410,Mons-en-Barœul,13.4,6.4,19570.0,10.7,7402.41,10.3,139.1,0,0,60,4.61,8.99
187,Lille,59421,Mouvaux,14.3,5.6,29430.0,6.5,3136.43,8.1,48.5,0,0,60,10.59,16.6
188,Lille,59426,Neuville-en-Ferrain,13,3.1,25120.0,7.3,1638.71,6.6,33.3,0,0,60,19.29,24.7
189,Lille,59437,Noyelles-lès-Seclin,13,4.6,28500.0,7.9,352.08,6.2,30.9,0,0,60,8.43,17.52
190,Lille,59457,Pérenchies,13.2,4.0,23810.0,8.3,2839.67,11.4,56.7,0,0,60,9.46,17.48
191,Lille,59458,Péronne-en-Mélantois,13.3,7.9,30020.0,7.5,912.73,15.0,0.0,0,0,60,16.47,21.56
192,Lille,59470,Prémesques,13.1,2.8,28490.0,7.3,403.92,8.7,19.0,0,0,60,11.12,19.28
193,Lille,59477,Provin,11.4,6.0,22130.0,8.1,1314.41,11.2,60.2,0,0,60,30.27,31.49
194,Lille,59482,Quesnoy-sur-Deûle,12.5,4.5,25610.0,7.9,480.56,9.6,81.5,0,0,60,13.13,24.14
195,Lille,59487,Radinghem-en-Weppes,13.9,4.6,31950.0,5.7,204.85,6.4,17.9,0,0,60,15.5,20.04
196,Lille,59507,Ronchin,13.4,4.4,22130.0,9.4,3599.44,11.7,133.9,0,0,60,4.64,10.2
197,Lille,59508,Roncq,13.1,3.3,25280.0,8.0,1300.38,10.0,50.9,0,0,60,15.92,18.51
198,Lille,59512,Roubaix,12.5,9.9,14580.0,11.7,7491.82,14.1,380.9,0,0,60,13.26,21.27
199,Lille,59522,Sailly-lez-Lannoy,13.3,3.2,29860.0,7.0,442.95,18.0,29.0,0,0,60,14.87,23.29
200,Lille,59523,Sainghin-en-Mélantois,13.6,5.9,31510.0,5.4,271.24,9.0,39.1,0,0,60,16.5,21.68
201,Lille,59524,Sainghin-en-Weppes,12.2,6.4,24770.0,7.4,732.6,9.3,30.0,0,0,60,17.77,18.49
202,Lille,59527,Saint-André-lez-Lille,14.4,3.8,24610.0,8.1,4044.38,12.9,73.8,0,0,60,4.3,8.62
203,Lille,59550,Salomé,12.6,6.8,22610.0,6.4,586.73,10.9,59.3,0,0,60,,
204,Lille,59553,Santes,13.1,2.9,26460.0,7.4,744.74,9.3,25.8,0,0,60,14.61,24.36
205,Lille,59560,Seclin,13,5.1,22460.0,8.0,737.59,10.0,127.3,0,0,60,16.4,19.93
206,Lille,59566,Sequedin,13.1,5.5,25180.0,10.7,1221.03,14.7,25.6,0,0,60,10.82,16.41
207,Lille,59585,Templemars,12.9,4.6,26250.0,7.3,790.22,11.5,61.0,0,0,60,11.63,17.45
208,Lille,59598,Toufflers,13,5.1,25270.0,7.1,1629.17,7.3,29.2,0,0,60,16.67,23.68
209,Lille,59599,Tourcoing,12.4,9.0,18300.0,9.7,6513.88,12.8,210.7,0,0,60,14.66,20.88
