Unnamed..0,ville_principale,Code,Libellé,loyer_m2,logements_vacants,med_revenu,jeunes,densite_pop,nouveaux_menages,beneficiaires_rsa,metropole,si_paris,temps_tgv_paris,dist_metropole,temps_trajet,dist_metropole2,temps_transit
158,Lille,59252,Frelinghien,12.5,3.6,25080.0,7.0,228.41,8.4,30.7,0,0,60,23.069,25.3166666666667,25.373,75.05
159,Lille,59256,Fretin,12.9,6.6,26580.0,6.7,244.47,7.6,36.4,0,0,60,12.758,16.35,30.328,71.13333333333334
160,Lille,59257,Fromelles,13.1,5.7,29030.0,5.6,126.59,11.2,7.3,0,0,60,17.315,20.5833333333333,26.477,67.13333333333334
161,Lille,59275,Gruson,14,3.9,35560.0,8.5,399.03,7.1,6.6,0,0,60,14.318,22.2666666666667,18.258,58.71666666666667
162,Lille,59278,Hallennes-lez-Haubourdin,13.5,3.4,24380.0,7.9,1097.21,11.2,35.9,0,0,60,9.837,12.9333333333333,13.755,50.11666666666667
163,Lille,59279,Halluin,12.4,4.6,21590.0,8.9,1653.1,11.0,99.8,0,0,60,20.624,23.9166666666667,21.133,70.61666666666666
164,Lille,59281,Hantay,12.6,2.8,24950.0,6.2,599.52,7.0,47.4,0,0,60,22.227,25.05,28.282,91.45
165,Lille,59286,Haubourdin,13.1,5.2,21490.0,8.5,2784.34,11.8,105.9,0,0,60,10.827,16.1333333333333,8.894,35.93333333333333
166,Lille,59299,Hem,13.7,3.5,23140.0,7.9,1929.18,9.0,132.8,0,0,60,12.98,17.2,14.842,58.71666666666667
167,Lille,59303,Herlies,12.3,2.5,27360.0,6.8,327.18,8.2,27.9,0,0,60,18.589,18.95,23.778,72.13333333333334
168,Lille,59316,Houplin-Ancoisne,13,5.3,25620.0,6.3,503.85,5.3,31.2,0,0,60,10.314,20.05,11.642,79.8
169,Lille,59317,Houplines,11.4,6.9,22140.0,7.6,698.85,11.0,82.0,0,0,60,20.536,22.5833333333333,23.262,58.9
170,Lille,59320,Illies,12.6,4.1,24770.0,6.7,210.63,13.2,37.7,0,0,60,21.221,21.1333333333333,33.161,76.75
171,Lille,59328,Lambersart,14,5.3,28160.0,8.4,4374.35,12.9,66.7,0,0,60,8.498,15.75,7.739,34.93333333333333
172,Lille,59017,Armentières,12.1,9.0,18920.0,10.1,4060.48,14.4,186.5,0,0,60,23.244,24.2666666666667,21.45,67.88333333333334
173,Lille,59339,Leers,13.2,4.5,24390.0,7.0,1775.56,8.3,46.7,0,0,60,19.391,24.5333333333333,23.841,65.28333333333333
174,Lille,59343,Lesquin,13.6,5.1,25570.0,8.1,1100.12,10.8,46.9,0,0,60,7.677,12.0666666666667,8.014,40.68333333333333
175,Lille,59346,Lezennes,13.7,6.5,25880.0,7.5,1437.62,8.8,33.3,0,0,60,6.26,9.38333333333333,4.97,28.916666666666668
176,Lille,59350,Lille,15,8.6,20520.0,22.7,6802.01,25.0,130.8,1,0,60,0.0,0.0,,
